GABP	Cdc37
SOX5	Olfr1221
HNF4	Syt13
HNF4	2310045N01Rik
MEF-2	Mir148b
myogenin	Ust
Nkx2-5	Cyp1a2
HNF4	Syt14
NF-Y	Mocs1
HNF4	Syt15
ETS2	2410016O06Rik
HNF4	Syt16
CLOCK:BMAL	1700052N19Rik
GLI3	Twist2
AML1	Tjap1
ETS2	Fasl
SOX5	Olfr1225
HNF4	Opn1sw
HNF4	Syt17
SOX5	Larp7
FRA1	Cilp
STAT6	Gmpr
AP-2rep	Slc10a4
NRF-1	Zfp428
ER	Thoc6
GABPA	Tnpo3
NRF-1	Fmr1
ETS2	Arv1
SOX5	Olfr1229
COUP	Tpcn1
STAT6	Wrap53
AP-2rep	Slc10a7
Nkx2-5	X99384
AML1	Mir708
ETS2	Smug1
SOX5	Wdpcp
AML1	Mir709
MAFA	Chchd4
HNF4	H2-Ob
ATF1	Sst
E2A	Prelp
Stat3	Dcaf6
AP-2rep	Apeg3
AP-2rep	Eif4g1
Esrrb	Syt2
MAFA	Chchd7
Stat3	Emx2os
AML1	Wbp7
FRA1	Igsf6
ATF1	Gpm6b
E2F-1	Gadl1
HNF4	Zfp238
NRF-1	Snord45b
Ebox	Fbxo32
AP-2rep	Dynll1
SOX5	Aptx
HNF4	Zfp239
NRF-1	Snord45c
CTCF	Ablim3
AP-2rep	Dynll2
GABPA	Rars
HEB	Cdkl5
STAT6	Atp6v1b2
AP-2rep	Bag1
SF1	Chmp2a
OTX	Olfr1079
USF	Atp13a3
Nrf-2	Tuba1c
PPARG	Chmp2a
OTX	Pappa
PPARG	Chmp2b
NF-kappaB(p65)	Ankrd58
HNF4	Mctp1
HNF4	Scn1a
Lhx3	Bhlhe22
TCF1	Lrrn3
Ets	Ipcef1
HEB	Eif2b4
HNF4	Scn1b
HNF4	Mctp2
PPARG	Itgam
ETS2	Olfr211
ETS2	Pdgfra
NRF-1	Morc3
COUP	Flii
ETS2	Olfr214
AP-2rep	D330050I16Rik
TR4	Prph
AP-2rep	Prrc2b
NRF-1	Tbc1d5
SOX5	8430427H17Rik
OTP	Acvr1
HNF4	Olfr70
MAFA	Gm98
HOXA1	Rcan1
HNF4	Fam167a
HNF4	Olfr71
FRA1	Atp2b4
RAR	Golga4
NRF-1	Tbc1d7
Nkx2-5	Olfr853
HNF4	Fam167b
Stat3	Leprot
HNF4	Olfr73
PUR1	Gprc5c
AP-2rep	Neurod4
ERR2(ESRRB)	Vpreb3
Nkx2-5	Olfr855
HNF4	Olfr74
HNF4	Olfr76
Nkx2-5	Olfr857
GABP	Gle1
AP-2rep	Neurod6
ETS2	Rin1
AP-2rep	Duox2
ETS2	Rin2
HEB	Dlg2
PPARG	Espl1
HNF4	Ankrd50
GABP	Arpc5l
Nkx2-5	Tnc
ETS2	Ferd3l
HNF4	Ankrd52
HNF4	Ankrd53
SOX5	Lcor
HNF4	Ankrd54
Lyf-1	Plxdc2
AML1	AY074887
OTX	Otx2
HNF4	Ankrd55
ETS2	Fat2
ETS2	Fam65a
HNF4	Tmem184a
HNF4	Snord45b
HNF4	Tmem184b
NRF-1	Foxo4
HNF4	Ankrd56
HNF4	Snord45c
HNF4	Ankrd57
ETS2	Fam65c
myogenin	March1
HNF4	Tmem184c
HNF4	Ankrd58
AML1	Elmo1
Arnt	Eif1b
ETS2	D230025D16Rik
NF-Y	Tmpo
ATF1	St7
AML1	Elmo2
AML1	Elmo3
ETS2	0610007P22Rik
ETS2	Mir33
AP-2rep	Gm1821
PPARG	Rasal2
FLI1	Slc25a23
AP-2rep	Grem1
myogenin	Fkbp2
AP-2rep	Nog
myogenin	March9
AML1	1500003O03Rik
AP-2rep	AI593442
AML1	Tmco5
AP-2rep	Sh2d4a
Ets	Capza1
ETS2	Thsd7b
myogenin	Fkbp5
AP-2rep	Sh2d4b
STAT6	Sfmbt1
STAT6	Htra1
HNF3A	Pura
HNF4	1190007I07Rik
MEF-2	Madd
HNF4	1700015E13Rik
NF-Y	Cdk5rap3
ETS2	C030019I05Rik
Stat3	Klk11
c-Ets-1	Mir199a-2
T3R	Enthd1
TGIF	4921513I03Rik
NRSF	Rasef
NRF-1	Phc3
AP-2rep	Cox8c
HNF4	Sepsecs
CREB	Cyp51
HNF4	Gpr172b
Stat3	Klk15
ETS2	Mir182
ATF	Lsm12
STAT6	Pou3f4
ETS2	Mir183
ETS2	Mir184
ETS2	Mir185
COUP	4930579G24Rik
FRA1	Skp2
Nkx2-5	Slc6a15
HNF4	Ar
FRA1	Esam
Mycn	Trip6
AP-2rep	Mmp11
T3R	Glra4
ipf1	Hoxa11
OTX	Pcdhb1
PPARG	Snhg4
SOX5	Camk2n2
PPARG	Ubash3b
CTCF	Parp3
PPARG	Sdk2
HNF4	Col7a1
AP-2rep	Mmp13
PPARG	Ftl2
AP-2rep	Mmp14
PPARG	Itgb6
NF-Y	Sufu
MATH1	Rbfox1
AP-2rep	Mmp17
PPARG	Mdk
MAFA	Krtap4-7
Nkx2-5	Mir351
MAFA	4930555I21Rik
ETS2	Sorl1
AML1	Olfr482
MAFA	Krtap4-8
ER	Mir10a
AP-2rep	Mmp19
OTX	Clca5
AML1	Dntt
isx	Ltbp1
MAFA	Krtap4-9
ER	Mir10b
Lhx5	Lrrtm1
SF1	Etl4
GR	Npdc1
Arnt	Dnaic2
NF-1	Wdpcp
CLOCK:BMAL	Fam108b
SOX5	Lcp2
Lyf-1	Vamp8
AML1	Olfr488
myogenin	Apcdd1
c-Rel	Atp11c
AML1	Arhgdib
AML1	Man2a1
AP-2rep	Arhgap42
CTCF	Defb36
YY1	Rpp30
SREBP-1	Qtrt1
ESE1	Gpr97
AP-2rep	Wbp2nl
AP-2rep	Arhgap44
NRF-1	D9Ertd402e
Stat3	Ms4a13
AML1	Mkx
ETS2	Aoah
CTCF	C130071C03Rik
myogenin	Cdr2
T3R	Aldh1a3
RFX1	Trit1
ETS2	Stx4a
SF1	Ly6g6d
SF1	Ly6g6e
HEB	BC057022
PUR1	Padi3
ATF	Rbbp8
PUR1	Gpsm3
AP-2rep	Trex2
PUR1	Padi4
SOX5	Zfp474
AP-2rep	Sigirr
MAFA	Ttc22
HNF4	Mtmr11
HNF4	Vwde
NRSF	1700123I01Rik
HNF4	Mtmr12
HNF4	Mxra7
HNF4	Epgn
Vsx1	Lmo3
NFAT3	Plcg1
HNF4	Mxra8
deltaEF1	Nrn1l
OCT-x	Ldb2
AML1	Rcn1
HNF4	Mtmr14
E2F-1	Fam120a
Stat3	Vrtn
SF1	D11Wsu99e
MAFA	Ttc26
AML1	Rcn2
Esrrb	Dlg2
MAFA	Spink12
AML1	Slc17a8
CREB	D630037F22Rik
AP-2rep	Akt1s1
E2F-1	Fam120c
ETS2	Rinl
STAT6	Ctnna3
MAFA	Ttc29
SOX5	Olfr1230
RXR:LXR-beta	Mir3089
Nkx2-5	Cyp1b1
PPARG	Prr3
SOX5	Olfr1231
AML1	Hnrnpd
HNF4	Phkg1
SOX5	Olfr1232
HNF4	Fthl17
AML1	Mir710
AP-2rep	1700013F07Rik
SOX5	Olfr1233
HNF4	Dimt1
HNF3	Sqrdl
Meis1	Fuz
MyoD	Cel
MAFA	Gm13304
NRF-1	Zfp438
ETS2	Tsc2
HNF4	Os9
HNF4	Ocel1
SOX5	Olfr1238
TAL1	Syt6
SOX5	Taar7a
Stat3	Mir26a-1
SOX5	Olfr1239
SOX5	Taar7b
CLOCK:BMAL	Eif1b
AML1	Hnrnpl
YY1	Tmed10
FRA1	Pcdhac1
AML1	Mir719
TFE	Neurod2
ETS2	Fermt1
PUR1	Cbln1
myogenin	Olfr266
Nkx2-5	Gprc5b
SOX5	Vav3
ETS2	Fermt2
YY1	Maea
HNF4	Rpl4
myogenin	Olfr267
ETS2	Fermt3
MyoD	Krt8
PUR1	Cbln3
Tcfcp2l1	Gm10230
HNF4	Rpl5
HNF3A	Pus3
HNF4	Rpl6
HNF4	Ap1s1
HNF4	Ap1s2
Stat3	Mid1
HNF4	Rpl7
PPARG	Mpst
HNF4	Rpl8
HNF4	Ap1s3
Stat3	4930404I05Rik
HNF4	Susd1
HNF4	Rpl9
HNF4	Cryga
HNF4	Susd2
ETS2	Hs6st1
HNF4	Crygb
PPARG	Me2
HNF4	Susd3
ETS2	Hs6st2
T3R	Gipc2
GABPA	Cdk9
Meis1	Jazf1
HNF4	Crygc
NFAT3	Papln
HNF4	Susd4
GLI	Lrrc52
S8	Mitf
HNF4	Crygd
PPARG	Me3
HNF4	Susd5
PPARG	Ttll11
HNF4	Cryge
Meis2	Polg2
AP-2rep	Gm11545
MAFA	Plp1
Ebox	Polr3gl
HNF4	Crygf
ETS2	Il2
HNF4	6720456H20Rik
AP-2rep	1700086L19Rik
FRA1	H3f3b
ETS2	Il3
NRSF	Celsr3
ETS2	Tada3
HNF4	Duoxa1
AML1	Sirt7
ETS2	Il4
HNF4	Duoxa2
HNF4	Scn2b
FRA1	Mir1251
Stat3	Atg12
SOX5	Rgmb
HNF4	2010003K15Rik
GABPA	Hcn3
ETS2	Il7
MAFA	Rngtt
ETS2	Olfr220
ETS2	Olfr221
YY1	Arhgdia
CHX10	Pou4f2
NUR77	Hes1
ETS2	Il9
ETS2	Olfr222
HNF4	Prim1
Stat3	Olfm1
Oct-1	Cadm1
HNF4	Crygn
PUR1	Actb
SREBP-1	2810030E01Rik
Stat3	Olfm4
ETS2	Olfr225
Bach1	Eno2
NF-Y	Pccb
Nkx2-5	Rgs1
Lhx3	Cyld
HNF4	Fam168a
HNF4	Crygs
ETS2	D930048N14Rik
HNF4	Fam168b
NFAT3	Slc14a2
HNF4	Tmpo
YY1	Zfp711
Nkx2-5	Sh2b1
NF-kappaB	Crabp2
HNF4	Itih1
HNF4	Mical1
Lmo2complex	Ing3
YY1	Csnk1a1
Nkx2-5	Rgs7
HNF4	Mical2
ETS2	Phldb1
HNF4	Itih3
USF	Hnrnpd
HNF4	Mical3
HNF4	Itih4
HNF4	Pomgnt1
myogenin	Ccdc92
ETS2	F630028O10Rik
FRA1	Pde2a
TGIF	Frem2
myogenin	Ccdc93
HNF4	Itih5
GABPA	Fam89b
SMAD4	Hoxb1
HNF4	Ankrd60
HEB	Tmco5
ETS2	Hand2
CTCF	Maf
HEB	Zfp641
HNF4	2700097O09Rik
ETS2	AI507597
NF-Y	Gadd45g
Nkx2-5	Mllt10
AP-1	Aldoa
HNF4	Tmem185b
EBF1	Fchsd2
ERR2(ESRRB)	Bcor
USF	Mfsd1
RFX1	Dctn3
c-Rel	Stat6
myogenin	Ubxn10
MyoD	Phf17
FRA1	Gpr88
HNF4	Fcgbp
ERR2(ESRRB)	Hoxa9
USF	Mfsd5
PPARG	2310014L17Rik
SOX5	Nme7
myogenin	Mir10a
YY1	Rpn1
MAFA	4931406B18Rik
Stat3	Ppp2r5b
HNF4	Rab3ip
Stat3	Foxf1a
myogenin	Mir10b
AP-2rep	C330018D20Rik
Stat3	Ppp2r5c
TGIF2	Cacna1s
PUR1	Ttf2
MAFA	Gm10125
HNF4	Esrra
HNF4	Osm
Esrrb	Slc20a1
myogenin	Ngrn
Bach2	Tmem43
HNF4	Sufu
HNF4	Esrrb
USF	Txndc12
STAT6	Stag3
PPARG	Spink14
PPARgamma:RXRalpha	Aamp
HNF4	Efemp1
myogenin	Tmcc3
SOX5	Spats2l
PPARG	Rltpr
ETS2	Mir190
HNF4	Efemp2
HNF4	H2-Q1
Esrrb	Syngr1
AML1	Apex2
ETS2	Mir191
ETS2	Mir192
HNF4	H2-Q2
COUP	1700027A23Rik
HNF4	Esrrg
NRF-1	Ovol1
ETS2	Mir193
AML1	Tmc5
GR	1700037H04Rik
NRF-1	Ovol2
ETS2	Mir195
ETS2	Il18bp
HNF4	H2-Q6
HNF4	H2-Q7
HNF4	Madd
HNF4	H2-Q8
ETS2	C130036L24Rik
HNF4	H2-Q9
AP-2rep	Mmp23
AP-2rep	BC052040
SOX5	Cenpl
AP-2rep	Npw
ETS2	Plk2
SOX5	Cenpp
AP-2rep	Mmp28
ETS2	Plk3
AML1	Olfr492
RFX1	Dmrt3
myogenin	Sfpi1
ISL1	Ephb6
HNF4	Nit1
STAT6	Atxn2
Stat3	Zbtb1
HOXC-8	Filip1
Stra13	Acrbp
AML1	Olfr494
TAL1	Tulp4
ETS2	Abra
PPARG	Msto1
T3R	Tmem86b
P50:P50	Gdf7
ETS2	Gm53
Stat3	Zbtb4
NF-Y	Zmynd8
GABP	Per1
PPARG	Met
Stat3	Eif2d
GABP	Per2
AML1	Man2b1
HNF4	Ndst1
Stat3	Zbtb9
HNF4	Ndst2
AML1	Mlx
myogenin	Cds1
LMAF	Crnn
ETS2	Stx5a
STAT6	Slc7a9
HNF4	Ndst4
RFX1	Kif18a
deltaEF1	Derl3
myogenin	Mst1r
Stat3	Galnt3
HNF4	Osgepl1
GLI3	Bcl2l1
HNF4	Lypd1
HNF4	Lypd2
ETS2	Lrba
Elk-1	Sdhd
ISL1	Olfr1496
HNF4	Lypd3
SOX5	Ttc23l
NF-Y	Mael
SREBP-1	Thrsp
PUR1	Mir210
HNF4	Lypd4
Stat3	Galnt7
STAT6	Cxcr5
GABPA	Erp44
HNF4	Lypd5
MAFA	Ttc35
HNF4	Lypd6
PUR1	Prkg1
GR	Rims2
MAFA	Ttc36
Stat3	Galnt9
SOX5	Fam110b
ETS2	Sult1a1
FRA1	Vim
STAT6	Setd6
Stat3	Aqp3
SOX5	Olfr1240
NRF-1	Mir804
CREB	Msi2
SOX5	Olfr1243
AP-2rep	Cfc1
MAFA	1700026D08Rik
CREB	Narg2
NRF-1	Zfp446
SOX5	Olfr1245
ETS2	Gtf2a2
Esrrb	Lrrc47
HNF4	C2
CLOCK:BMAL	Zbtb1
Myc	Snora62
SOX5	Olfr1246
HNF4	C3
COUP	Prkcd
MAFA	Ubtd2
SOX5	Olfr1249
HNF4	C6
AML1	Zfp366
ESE1	Spnb1
SOX5	Taar8c
En-1	Lmo3
ETS2	4833427G06Rik
ETS2	Mir19a
AML1	Skiv2l2
OTP	Hoxb3
ETS2	Cd101
HNF4	C9
HNF-4	Aspa
PPARG	P2rx1
HNF4	Carkd
GABPA	Gm527
STAT6	G0s2
PPARG	P2rx2
myogenin	Zmiz1
ETS2	Whrn
HNF4	Pcca
myogenin	Amotl2
T3R	Olfr456
HNF4	Csda
PPARG	P2rx4
SREBP-1	Prkce
Oct-1	Hist1h2ab
HNF4	Pccb
Oct-1	Hist1h2ac
STAT6	Ifltd1
HNF4	Zfp259
AML1	4931429P17Rik
STAT6	Zfp579
Oct-2	Sucnr1
STAT6	Rc3h1
HEB	Itpr3
Oct-1	Hist1h2ae
FLI1	Ippk
OTX	Olfr1097
Stat3	Wwp1
ETS2	Cd109
SOX5	Gdnf
PPARG	B430010I23Rik
AP-2rep	Bai2
OTX	Olfr1098
Elk-1	Anapc13
HNF4	Rnpep
HNF4	B330016D10Rik
AP-2rep	Bai3
Stat3	Aak1
Oct-1	Hist1h2ah
RFX1	1700025K23Rik
Nobox	Pid1
ETS2	Mir551b
Nkx2-5	Tac2
AML1	Gm10649
PPARG	Ptk2b
E2A	Spcs2
Nkx2-5	Tac4
STAT6	Ehbp1
TERALPHA	1700019O17Rik
SOX5	BC031353
COUPTF	Tpcn1
HNF4	Scn3b
NF-Y	Rpn2
FRA1	Olfr769
GR	Ppbp
PPARG	Hist1h2ah
deltaEF1	Flot2
STAT6	Ubl4
ETS2	Olfr231
MAFA	Slc12a1
Stat3	Snord16a
MAFA	Diap1
PPARG	Hist1h2ak
SOX5	Ndel1
CTCF	Bai2
OTX	S100a10
STAT6	Tssk1
MyoD	Cd247
HNF4	Olfr90
MAFA	Diap3
PPARG	Spem1
HNF4	Fam169a
NFAT3	Ptprn2
ETS2	Aoc2
Mox1	Cer1
AP-2rep	Ube2v1
RUSH-1alpha	Zfp516
HNF4	Olfr92
ETS2	Aoc3
hbp1	Fancl
Oct-2	Egr2
NF-kappaB	Map3k8
Nkx2-5	Olfr875
PUR1	Atp10d
HNF4	Olfr95
Nkx2-5	Olfr876
LXR	Mir29b-1
COUP	Srgap2
ETS2	Sorcs1
HNF4	Olfr96
GABPA	Eapp
Stat3	Naif1
ETS2	Sorcs3
HNF4	Olfr98
hbp1	Olfr1535
myogenin	AW551984
HNF4	Gm11202
GABPA	Arfip1
PPARG	Ntsr1
GABPA	Arfip2
CLOCK:BMAL	Mon1a
EBF	Cldn5
PPARG	Tmem39a
myogenin	A4gnt
HNF4	Parva
Stat3	Il6ra
NRF-1	Pdxdc1
HNF4	Parvb
T3R	Kcnh8
Stra13	Sirt1
ETS2	Tmprss11a
ETS2	Acap1
HNF4	Otc
PPARG	Insl3
ETS2	Tmprss11d
AML1	Hgfac
ETS2	Acap3
HNF4	Parvg
PPARgamma:RXRalpha	Slc39a5
Nobox	Snx7
MAFA	Dab1
PPARG	Irf2bp2
GR	BC053749
myogenin	Gm10584
NRF-1	Actn4
MATH1	Nelf
CLOCK:BMAL	Tob2
PUR1	Mesp1
FLI1	Slc25a46
Stat3	Cox4i1
OTX	Olfr922
STAT6	Rps8
ETS2	1700123I01Rik
Nkx2-5	Fam84b
GABPA	2610017I09Rik
HNF4	Otp
PPARG	Plcl2
AML1	Alx1
FRA1	6030429G01Rik
Nkx2-5	Bahcc1
NF-kappaB	Fam117a
HNF4	Llph
HNF4	Maea
HNF4	Cp
AP-2rep	Ech1
ETS2	Clec1a
AP-2rep	Gm6772
Nkx2-5	Nek11
HNF4	Cs
ATF3	Etv2
PPARG	Mff
HNF4	Wnt10a
HNF4	Wnt10b
PUR1	Sv2c
Oct-2	Zhx2
E2A	Epc2
Nkx2-5	Mir370
Nkx2-5	Scgb3a1
GABPA	BC024479
Stat3	Nup107
ETS2	V1rg10
PUR1	Lrig1
ETS2	Ddr1
Nkx2-5	Mir375
Stat3	Eif3a
AML1	Mdm1
HNF4	Hrh1
HNF4	Mrps11
ETS2	Ddr2
NF-Y	Mafa
RORalpha	9630013A20Rik
HNF4	Hrh2
Nkx2-5	Mir377
HNF4	Mrps12
HNF4	Magi1
Nkx2-5	Hs3st1
Nkx2-5	Masp1
myogenin	P4hb
AP-2rep	Bcl11a
HNF4	Hrh3
Stat3	Eif3c
HNF4	Magi2
AP-2rep	Prps1l1
AP-2rep	Bcl11b
NRF-1	Ctdnep1
HNF4	Mrps14
AML1	Man2c1
HNF4	Magi3
Nobox	Tgif1
PPARG	Fam190a
NRF-1	Scamp2
SOX5	0610039K10Rik
NRF-1	Scamp3
AML1	Myh7b
Stat3	Eif3g
Stat3	Eif3h
PUR1	Thoc2
AML1	Pfkm
PUR1	Thbs4
OTX	Gria1
FRA1	Rfx6
GABPA	Rpl37a
Arnt	Zfp207
Stat3	Reep3
Stat3	Eif3j
Stra13	Apex1
MATH1	Epb4.1
ETS2	B430306N03Rik
HNF4	A430107P09Rik
myogenin	Scai
STAT6	Zp2
ATF2	Cep57
Stat3	Dnaja2
PPARG	Arvcf
SOX5	Wsb1
NRF-1	Snrpb2
NF-Y	Chchd7
ATF2	Fam131a
GABPA	Ctr9
myogenin	Snx16
E2F-1	Fam122a
NF-Y	Hey1
AP-2rep	Fkbp3
AP-1	Psmd11
NF-Y	Hey2
HNF4	Hoxa10
Lhx2	Mitf
AP-1	Psmd12
AP-2rep	Fkbp4
HNF4	Hoxa11
ATF2	Ddx19a
AP-2rep	Pla2g5
Esrrb	Lrrc51
c-Rel	Slc12a2
Nkx2-5	Trim39
AP-2rep	Fkbp5
myogenin	Scap
SOX5	Olfr1250
myogenin	Ubxn2a
SOX5	Prr11
HNF4	Hoxa13
SOX5	Olfr1251
YY1	Alg11
SOX5	Olfr1252
SOX5	Prr12
E2A	Pip4k2a
E2A	Pip4k2b
NRF-1	Zfp454
Nkx2-5	Dhx37
ETS2	H2-Bl
HNF4	Lama1
SOX5	Olfr1254
En1	Ercc2
HNF4	C130074G19Rik
HNF4	Lama2
SOX5	Olfr1255
LMAF	Foxp2
STAT4	Gsk3a
HNF4	Lama3
myogenin	Olfr281
HNF4	Lama4
SOX5	Olfr1257
HNF4	Nt5c2
HNF4	Lama5
SOX5	Olfr1258
SOX5	Pik3r4
myogenin	Olfr283
AP-2rep	Atp2a1
ETS2	Slc32a1
HNF4	Nt5c3
HNF4	Zfp260
SOX5	Vax1
MAFA	Hist1h2bj
ETS2	Pelp1
HNF4	Rpn1
AP-2rep	Atp2a3
HNF4	Zfp263
myogenin	Olfr286
AP-2rep	Gpr4
OTX	Alg3
myogenin	Olfr288
AP-2rep	Nid1
CLOCK:BMAL	Eif3f
TAL1	Klhl1
AP-2rep	Gpr6
GR	Emcn
GR	Lonp2
AP-2rep	Heg1
Oct-1	Hist1h2bb
FRA1	Robo4
Oct-1	Hist1h2bc
Stat3	Smc6
CLOCK:BMAL	Reep3
TAL1	Klhl4
AP-2rep	Gm9962
CLOCK:BMAL	Eif3j
SF1	Acvr1
PPARG	P2ry6
AML1	Mn1
CLOCK:BMAL	Eif3k
ETS2	Dgcr2
HNF4	Maf1
GABPA	Rnf20
NFAT3	Bnip1
AP-2rep	Gm11563
Nrf-2	Tuba4a
NRF-1	Hs2st1
Oct-1	Hist1h2bg
STAT6	Tmx4
NUR77	Rapsn
NFAT3	Bnip2
FRA1	Olfr774
CTCF	Gpr3
SOX5	BC031361
AP-2rep	Wasf1
HNF4	Scn4a
HNF4	Mcts1
myogenin	Hhatl
myogenin	Rasgef1a
YY1	Mcmbp
ICSBP	Tcirg1
Oct-1	Hist1h2bk
ETS2	Hmgxb4
STAT6	Pard3
HNF4	Scn4b
HNF4	Mcts2
myogenin	Pdxp
NF-E2	Mpp5
Oct-1	Hist1h2bm
SOX5	LOC100504235
HNF4	Hexb
COUP	Cntfr
AML1	1700034O15Rik
PPARG	Pnma2
HNF3A	Anxa8
PPARG	Hist1h2bk
AML1	Psen1
STAT6	Klhdc8a
Mycn	Dusp15
AP-2rep	3110009E18Rik
Nkx2-5	Xkr4
Elf-1	Cebpe
PPARG	Pnma5
ETS2	Inpp5b
MAFA	Ddx6
Nkx2-5	Xkr6
PPARG	Hist1h2bn
NFAT3	Fzd2
ETS2	Inpp5d
T3R	C030019I05Rik
PUR1	Atp11c
CREB	Kctd8
c-Rel	Nfkbia
HNF4	1110051M20Rik
AML1	1110017F19Rik
SOX5	Hbegf
Stat3	Rangap1
hbp1	Aifm1
Nkx2-5	Olfr888
c-Rel	Nfkbid
USF	Ppp1r3c
c-Rel	Nfkbie
Esrrb	Timm9
MyoD	Adam11
HNF4	Gm11213
FLI1	Manbal
AP-2rep	Adcyap1
CTCF	Map3k15
Stat3	2400003C14Rik
SOX5	Dock1
Stat3	Napb
NFAT3	BC028528
ETS2	Hist2h2bb
ETS2	Gm12298
NRSF	Celf3
HNF4	E030011O05Rik
HNF4	Zscan18
SOX5	Dock3
MAFA	Cln3
myogenin	Awat1
myogenin	Atxn2l
AP-2rep	Fam25c
ETS2	Eif2s3y
myogenin	Awat2
TAL1	Srpk3
HNF4	Snord11
SOX5	Dock7
SOX5	Dock8
HNF4	Snord12
SOX5	Dock9
HNF4	Magix
myogenin	Hpgd
myogenin	Gm10591
HOXA7	Otx2
myogenin	Sytl4
PPARG	Lhfp
HNF4	Hspb11
ETS2	Mir181b-1
STAT6	Smug1
c-Rel	Arid2
ETS2	Cfdp1
ETS2	Dtx2
SOX5	Cntn1
HNF4	Snord19
HNF4	Gmnn
CLOCK:BMAL	Mtfp1
ETS2	Dtx3
AML1	Stra6
ETS2	Dtx4
PPARG	Nek4
Zic2	Ccr10
AP-2rep	2310002J15Rik
SOX5	Cntn2
Esrrb	Snord45b
NRF-1	Phf1
AP-2rep	Wbp4
Stat3	Irs2
SOX5	Cntn3
Esrrb	Snord45c
PUR1	Mir1903
ATF	Ddx19a
PUR1	Mir1904
NRF-1	Pnn
ATF	Nr2e1
AP-2rep	Wbp5
SOX5	Cntn4
LMAF	Lin54
HNF4	Carm1
SOX5	Cntn5
MEF2A	Asph
Lmo2complex	Dleu2
Stat3	Il6st
myogenin	Rragb
AP-2rep	Wbp7
NFAT3	Tsnax
ESE1	Oit3
Nkx2-5	LOC100504265
PPARG	D630037F22Rik
myogenin	Rragc
myogenin	Haus4
Nkx2-5	Vnn3
NRF-1	Phf6
myogenin	Rragd
COUP	Rbmx2
Nkx2-5	Nr4a2
AP-2rep	Eci1
HNF4	Mafb
Nkx2-5	Nr4a3
HNF4	Csf1
ETS2	Ina
HNF4	Csf2
HEB	1110028C15Rik
HNF4	Csf3
FLI1	Srsf5
HNF4	Maff
myogenin	Dio3
HNF4	Mafg
Nobox	Ube2l3
ETS2	Celf1
myogenin	Srcrb4d
CTCF	Wbp7
ETS2	Celf2
Dobox5	Mef2c
COUP	Syngr2
PPARG	Aplp2
ETS2	Celf3
ETS2	Celf5
MAFA	Vmn2r104
PUR1	Ggt1
AP-2rep	Rufy1
PPARG	2310057J18Rik
HNF4	Hey1
HNF4	Hey2
E2F-1	Lrp2
HNF4	Mrps21
E2A	Vwa1
Stat3	Eif4b
Stat3	Bace1
AP-2rep	Rufy4
MATH1	Fxyd3
HNF4	AU023871
HNF4	Mrps23
PUR1	Lcat
PUR1	Ggt7
HNF4	Mrps25
Stat3	Eif4e
Nobox	Btla
HNF4	Mrps26
HNF4	Mrps27
GLI1	Gtf2ird1
NeuroD	Alpk3
Elk-1	Rab2a
STAT6	LOC100502868
myogenin	Fam60a
ESE1	Anxa5
ETS2	Zfyve1
Stat3	Myl1
PPARG	Tymp
Nkx2-5	Trim42
YY1	Ino80d
SOX5	Mylk3
Nkx2-5	Cryzl1
SOX5	Mylk4
SOX5	Mecom
NF-1	Col11a2
MAF	Plac1
ETS2	Lrdd
Stat3	Dnajb4
ISL1	Zbtb9
Oct-1	Ccnd1
MAFA	Sh3bp2
AML1	Esr2
Oct-1	Ccnd2
Nkx2-5	Trim46
Stat3	Tmem63a
Nkx2-5	Trim47
Stat3	Myl7
SOX5	1810024B03Rik
hbp1	Fcer1a
HNF4	Snord1a
MAFA	R3hdml
Stat3	AI118078
HNF4	Echdc3
GR	BC024479
AP-2rep	Mtrf1
Stat3	Dnajb9
HNF4	Snord1b
SOX5	Olfr1260
FRA1	Zfp609
SOX5	Prl
HNF4	Snord1c
Stra13	Fam76b
SOX5	Olfr1261
SF1	Mir125b-1
SOX5	Olfr1262
SF1	Hoxa9
ETS2	Mzt1
NFAT3	Itgb4
HNF4	Krtap12-1
AP-2rep	Tmcc2
SOX5	Olfr1263
Stra13	En1
ATF	Kat5
HNF4	Lamb1
SOX2	Hoxb1
AP-2rep	Tmcc3
MAFA	Clnk
SOX5	Olfr1264
MEF-2	Hdac9
NFAT3	Itgb6
HNF4	Lamb2
GCNF	Mir1907
PPARG	Rhbdl3
HNF4	Lamb3
NRF-1	Wdr20a
AML1	5430417L22Rik
NRF-1	Cited2
AML1	Grrp1
myogenin	Mir132
FRA1	4930404A10Rik
AP-2rep	Atp2b1
SOX5	C77370
PPARG	2310068J16Rik
AP-2rep	Atp2b2
MAFA	Aldoart1
STAT6	Kif21a
myogenin	Mir134
ETS2	Cxcl10
Nkx2-5	Rbfox2
HNF4	Zfp273
ETS2	Cxcl11
myogenin	Erf
myogenin	Erg
CLOCK:BMAL	Eif4e
PUR1	Cyp2d37-ps
AML1	Zfp389
Stat3	Tmtc3
HNF4	Zfp275
myogenin	Ssh2
ETS2	Col27a1
PPARG	1300018I17Rik
HNF4	Zfp276
HNF4	Macrod1
HNF4	Zfp277
PPARG	Usp6nl
ETS2	Stam2
alpha-CP1	Hist2h2aa1
myogenin	Mir139
alpha-CP1	Hist2h2aa2
HNF4	Macrod2
ETS2	Gm5424
ETS2	Cxcl17
PPARG	Abtb2
PPARG	Gm16516
AP-2rep	Sfpi1
AML1	1810011O10Rik
