rom GENESYM to affyhg
LXR	C19orf46
YY1	SERPINE2
PU.1	MYO5B
HNF4	TMEM132C
YY1	EDNRA
GR	PRKCZ
NeuroD	PLK5P
HNF4	TMEM132D
STAT6	SPATS1
HSF2	JAG1
HNF4	TMEM132E
YY1	MED4
GABP	KIF22
STAT4	CHMP2B
HNF4	MIR130A
HMGIY	ECM1
HNF4	MIR130B
HMGIY	ECM2
PU.1	DENND2D
ETS2	LOC100128788
HNF4	BMP10
YY1	MED8
YY1	MED9
STAT3	CDKN2AIPNL
E2A	IL10RB
HNF4	FOXG1
STAT3	ATOH1
NF-Y	RHEB
NeuroD	CXCL1
LEF1	DIS3
PUR1	PPL
SOX4	OPN5
HMGIY	BANK1
SMAD	C6orf154
TEF-1	FOSL1
HNF1	CCDC58
NeuroD	CXCL5
TEF-1	FOSL2
FXR	C3orf21
NeuroD	CXCL6
PU.1	CCDC42B
MEF-2	NPAS4
FXR	C3orf22
Gfi-1	FBXL7
SOX4	UBTF
OCT-x	C12orf57
ETS2	UBE4A
TEF-1	IPO4
HOXA3	RPSAP52
TEF-1	C11orf51
TCF-4	C6orf62
ETS2	UBE4B
LBP-1	FAM59A
ETS2	ARNTL2
TEF-1	C11orf52
FXR	C3orf27
NeuroD	SEPT5-GP1BB
Nrf-1	CHAF1A
TEF-1	C11orf53
ETS2	LRIG1
PU.1	ELN
HNF4	MGC16703
SMAD	SLC44A2
YY1	ACADVL
TEF-1	C11orf54
TEF-1	IPO7
ETS2	LRIG3
TEF-1	IPO8
YY1	FLJ22536
ETS2	NOTCH1
Nrf-1	ANKRD37
PUR1	PPY
PUR1	LCE1D
TEF-1	IPO9
E2A	STRN
ETS2	NOTCH2
SOX10	RGL1
LBP-1	ENGASE
CREB	SARNP
TEF-1	C11orf57
ETS2	KCNQ1OT1
ETS2	NOTCH4
Oct-1	NUFIP2
ETS2	LOC400043
ETS2	MAPK4
FXR	PPBP
LBP-1	FLNA
YY1	AP4M1
ETS2	MAPK6
HEB	IGF1
LBP-1	FLNB
GR	C1QTNF1
ETS2	MAPK7
Lyf-1	RAP2A
HOXA3	RAB5B
Bach1	BHLHE41
LBP-1	FLNC
NF-Y	LOC100509575
ATF2:c-Jun	C7orf41
E2A	ABCC3
ETS2	MAPK9
GABP-alpha	CCDC115
GR	C1QTNF4
TEF-1	NOC3L
SOX10	KIAA1598
E2A	ABCC5
Myc	DBI
HNF-4	SKIV2L
PPARdirectrepeat1	MIR301B
STAT6	ALDH3A1
NeuroD	MAGOHB
PUR1	CCDC155
LEF1	MIR214
GR	C1QTNF7
STAT3	PSKH1
TAL1	C15orf60
MAFA	NR1H3
LEF1	MIR215
ETS2	ACADSB
ETS2	OPRL1
E2A	MIR889
TEF-1	GAPDH
E2A	C11orf63
SOX10	PDCL3
LBP-1	BARHL1
LBP-1	BARHL2
HMGIY	FIBIN
LEF1	LOC440925
YY1	LRRC66
TEF-1	TOP3B
SOX4	PTOV1
AP-2rep	OR4C46
NeuroD	FAM189A2
YY1	LRRC67
MEIS1	FAM78B
GABP	SEC31A
STAT6	CCDC88A
TEF-1	KIAA1549
E2A	C11orf68
STAT6	CCDC88B
SF1	PFKFB4
Tel-2	SPNS3
alpha-CP1	HMX3
Nrf-1	ACTB
YY1	HELB
TEF-1	CCNYL1
LEF1	DEFB110
Myc	NOP56
Lyf-1	CD209
deltaEF1	MCAM
ETS2	RAB7L1
USF1	MYOC
NURR1	MGMT
HSF2	CLDN1
NeuroD	VTCN1
Myc	NOP58
TEF-1	TUBB
AR	RRAGD
YY1	PTK6
LEF1	DEFB116
Tel-2	HNRNPD
YY1	PTK7
SOX	SERINC1
ETS2	CLPTM1
TAL1	MID1
P50:RELA-P65	SH3PXD2A
Tel-2	HNRNPF
STAT6	STOML3
PU.1	ZUFSP
HNF4	INPP5B
TEF-1	UGP2
NURR1	ZNF782
YY1	STON1-GTF2A1L
Nrf-1	CNOT6L
AP-2rep	LOC401934
SOX10	HTR2A
HNF4	INPP5D
NURR1	ZNF784
GR	PRKD2
NURR1	ZNF785
HNF4	INPP5F
MAFA	NRAP
ETS2	BAK1
NURR1	ZNF787
HMGIY	ST8SIA1
c-Myc	FBXO32
HNF4	TPI1
NeuroD	GPR141
HNF4	INPP5J
SOX10	BCL7A
STAT6	NCRNA00085
HNF4	INPP5K
YY1	HELT
NeuroD	GPR143
HMGIY	ST8SIA4
HNF4	FLJ22184
NeuroD	GPR144
TEF-1	ZMYM2
STAT6	NCRNA00087
YY1	XPA
LBP-1	C7orf60
Nrf-1	TWF2
AP-2rep	SSX2IP
TEF-1	ZMYM3
LBP-1	C7orf61
NeuroD	GPR146
TEF-1	ZMYM4
MATH1	MASP1
TEF-1	ZMYM5
NeuroD	GPR148
LEF1	PCDHGC3
TEF-1	ZMYM6
Myc	CABLES1
YY1	ZZZ3
PU.1	C9orf46
Tel-2	ZNF768
TAL1	LDB3
GR	MIR3653
PU.1	CEP120
NURR1	MZB1
STAT4	CYFIP2
ETS2	TMEM86B
FXR	UNC5CL
STAT6	CACNG5
IRF8	C6orf170
HMGIY	LY6G6C
FXR	C1orf151
FXR	LPL
STAT6	CACNG6
NURR1	SMCR5
SOX4	LOC388942
TEF-1	SERF2
STAT6	CACNG8
AP-4	KIAA1683
FXR	LPO
NURR1	SMCR7
HNF4	PUS3
CREB	ABCF2
Lyf-1	FLAD1
NURR1	GNAI1
STAT4	TRIM39-RPP21
NURR1	GNAI2
FXR	LPP
STAT6	MARCH10
TEF-1	LY86
YY1	DKFZp451B082
NURR1	GNAI3
STAT6	MARCH11
FXR	C1orf157
LRF	E2F2
YY1	PXDNL
ETS2	TTC35
HNF4	PUS7
PU.1	CYP2B7P1
AP-2rep	ZC3H13
ETS2	TTC36
LBP-1	SHMT1
c-Myc:Max	OSM
LBP-1	SHMT2
NR1H2::RXRA	ZBTB40
AP-2rep	ZC3H15
Ebox	CCDC6
Ebox	CNOT1
PU.1	COMMD3-BMI1
SOX10	KIF16B
E2F	ATF3
FXR	OR2A7
IRF8	CDH2
STAT4	SH3RF2
TEF-1	KHK
LEF1	EHBP1
FXR	KRTAP10-8
HNF4	WIPI1
alpha-CP1	DHRS12
GABP-alpha	PTMA
STAT4	SH3RF3
TEF-1	FAIM
E2A	ZNF438
YY1	CETP
STAT3	C12orf12
HMGIY	GRASP
NR2F1	ATXN7
Nrf-1	KATNA1
OTX	MIR383
RFX1	CBX5
TEF-1	MIR362
STAT4	HYDIN
ATF3	MIR3175
GABP-alpha	SLC25A3
TEF-1	MIR363
PU.1	NR0B1
YY1	GSPT2
PUR1	ZFYVE19
LBP-1	TMIGD2
RFX1	CBX8
PXR(PXR:RXR)	LYSMD2
Nrf-1	HOOK1
ETS2	FUT8
FXR	RGS1
E2A	CEND1
TEF-1	MIR367
N-Myc	TLE4
ERR2(ESRRB)	C22orf24
FXR	RGS3
STAT4	TBKBP1
TEF-1	MIR369
TEF-1	NSDHL
FXR	RGS4
HNF4	CMTM1
STAT4	CKMT2
TEF-1	MIS12
HNF4	CMTM2
PU.1	RAD18
NUR77	C9orf125
HNF4	CMTM4
FXR	RGS8
HNF4	CMTM5
SOX4	RFC3
PUR1	CMKLR1
NeuroD	FLJ34503
HNF4	CMTM6
STAT6	CES5AP1
ETS2	EPR1
NeuroD	ZFAT-AS1
HNF4	GART
HNF4	CMTM8
SOX9	TMCC3
FRA1	ARHGEF4
PXR(PXR:RXR)	TMEM30C
Myc	MPP3
LMAF	APOC3
HMGIY	BBX
NUR77	LOC100288346
LBP-1	VPS13B
TEF-1	KRTAP3-1
AREB6	CCDC84
MAFA	FOXD3
HMGIY	ACAA2
PR	AKR1D1
Olf-1	OPA3
ETS2	SCGB2A2
RELA	OPTN
HNF4	ZFR
LM4_M2	CFL1
FXR	PPP1R8
Myc	TSC22D1
TEF-1	C11orf64
ETS2	CYBA
TEF-1	C11orf65
NeuroD	MPST
TEF-1	C11orf66
GABP	RAB19
ETS2	CYBB
TEF-1	C11orf67
SOX10	GNRHR2
TEAD1	ELF3
STAT4	KCNA10
STAT6	LEKR1
NeuroD	ADAT1
NURR1	SPRY3
c-Myc:Max	H3F3A
LBP-1	RFESD
NURR1	SPRY4
NeuroD	ADAT3
FXR	MT1F
SOX4	CHRNA5
ETS2	GAD1
SOX10	SUMO2
SOX4	CHRNA7
HMGIY	LOC645323
PU.1	CD300LF
STAT4	RNASE2
HNF4	BMP2K
STAT4	RNASE3
TEF-1	NOC4L
ETS2	COL27A1
YY1	TOB2
STAT4	RNASE4
HSF2	HSPB2-C11ORF52
Nrf-1	PLEKHA8
STAT6	ALDH3B1
YY1	NECAB1
YY1	NECAB2
ETS2	BAZ2A
STAT4	PABPC3
E2A	BDH1
ETS2	OPRM1
ETS2	C15orf38-AP3S2
STAT4	RNASE9
TEF-1	LOC100240734
LBP-1	COMTD1
NeuroD	JAM2
COUP	ISL2
TEF-1	LOC100240735
NeuroD	SUN2
NeuroD	JAM3
LEF1	JUB
Lyf-1	SH2D6
NeuroD	SUN5
FXR	CALR
HNF4	TSPY26P
E2A	DNLZ
MATH1	PPP1R1A
SOX4	ST8SIA4
RFX1	ABHD14A
c-Rel	FBN1
Myc	PSMD9
FXR	CALU
NeuroD	FATE1
RFX1	ABHD14B
LEF1	AMBN
CHX10	PCDH18
YY1	CHMP5
NF-kappaB(p65)	MSN
GR	CD2
HNF4	ABHD16B
alpha-CP1	STRA13
YY1	CHMP6
PU.1	TNXB
Nrf-1	BTBD3
STAT4	TXNDC2
FXR	CALY
HNF4	GRN
ERR2(ESRRB)	UPF0639
NeuroD	CEBPE
STAT4	TXNDC5
PXR(PXR:RXR)	KLK13
HNF4	GRP
STAT4	TXNDC6
IRF8	CXCR4
AP-2rep	MGLL
STAT4	LMX1A
YY1	UAP1
NeuroD	CEBPG
TEF-1	SPDEF
TEF-1	ZNF585A
STAT4	TXNDC9
NeuroD	RPL3
SOX10	HTR3A
TEF-1	ATF1
LEF1	MDC1
NeuroD	RPL5
TEF-1	ATF2
NF-Y	UPF0639
TEF-1	ATF3
STAT6	NCRNA00092
NeuroD	GPR150
NeuroD	RPL7
TEF-1	ATF5
RelB:p52(NF-kappaB)	LOC401093
NeuroD	SPTBN1
ETS2	WDYHV1
NeuroD	GPR151
NeuroD	GPR152
STAT6	NCRNA00094
STAT3	LGI1
TLX1::NFIC	DCX
TEF-1	ATF6
STAT6	ALOX12
TEF-1	ATF7
PXR(PXR:RXR)	CCDC28B
NeuroD	GPR153
NeuroD	SPTBN4
NeuroD	SPTBN5
PU.1	C9orf50
STAT5A	FIGN
LBP-1	C7orf70
NeuroD	GPR155
STAT6	PAOX
Oct-1	ATP6V1C2
E2A	BSN
MAFA	PIRT
NeuroD	GPR158
LRF	TAF5L
YY1	AEBP1
MAFA	HBEGF
MAFA	ZIC3
GR	MIR3660
NF-kappaB	IL2RA
Staf	CNIH4
ETS2	TMEM87A
MIF-1	TMEM109
GR	MIR3663
YY1	IGSF9B
Mox1	LOC154860
ETS2	TMEM87B
MAFA	KIAA0182
FXR	TNFAIP2
STAT3	RBPJL
E2A	BSX
HNF4	GAS2
FXR	TNFAIP3
SOX4	LOC642597
STAT3	IQUB
PPAR	DVL1
LBP-1	HOXB13
HNF4	GAS5
LBP-1	PLEKHM1
HNF4	GAS6
LBP-1	LOC253573
HNF4	GAS7
Tel-2	NGRN
TEF-1	INHBE
GR	ARRDC1
AP-4	EIF2AK3
HNF4	GAS8
STAT6	TTC30A
dlx5	ZBTB20
FXR	C1orf168
TEF-1	LOC157381
YY1	PAX1
GR	ARRDC4
NeuroD	SNUPN
YY1	PAX2
YY1	PAX3
Staf	FNTB
YY1	PAX4
E2A	ZNF446
Oct-2	MEF2B
YY1	PAX5
OTX	TCEB3B
YY1	PAX6
Oct-2	MEF2C
STAT4	EN2
ETS2	NCKAP1
SOX10	NDUFA4L2
ETS2	NKAP
YY1	PAX8
YY1	PAX9
TEF-1	KIN
YY1	FAM13AOS
ETS2	DYNLRB1
alpha-CP1	TIMM17A
ETS2	DYNLRB2
LBP-1	LOC441025
SOX10	HK1
AREB6	ERF
LBP-1	MIR1179
YY1	SERPING1
NF-Y	HIST1H2AA
GABP	SHQ1
MAFA	WIPF1
NURR1	MIR320A
PU.1	MYO7B
SOX4	TEAD2
MAF	ANGPTL4
PXR(PXR:RXR)	DHX33
MAFA	WIPF2
HNF4	DYNC1LI2
NF-Y	HIST1H2AC
PU.1	SLC26A2
TEF-1	KIT
AP-4	EPHA3
SOX10	GLIPR1L1
IRF8	PTGFR
TEF-1	MIR377
SOX10	GLIPR1L2
PU.1	SLC26A4
RELA	DEDD
PU.1	DENND4B
MyoD	FAM160A2
NF-1	ZBTB37
Elk-1	UQCRH
MIF-1	SDCBP2
TEF-1	MIR379
HOXD3	NR0B2
GABP-alpha	MTIF2
SOX10	LOC338739
STAT4	OR2V2
LBP-1	FLJ32063
PU.1	SLC26A9
MAFA	PVALB
STAT4	MBD3L1
NeuroD	BRSK2
HNF4	FOXI2
NeuroD	MAP7D1
TCF-4	MIR3120
NeuroD	TBX10
YY1	RNF112
NeuroD	MAP7D3
TCF-4	MIR3122
Tal-1beta:ITF-2	ECE2
E2A	ROR1
NURR1	KLHL2
HNF4	GAST
ATF	TMEM187
ETS2	LARP1
NURR1	KLHL3
YY1	RPL21P28
YY1	RNF115
PU.1	ENG
ETS2	ACSF2
CTCF	PARP3
HEN1	DCX
NeuroD	TBX15
HMGIY	PAQR5
FXR	TARBP2
PUR1	TEX12
RelB:p52(NF-kappaB)	DCLK1
AP-2rep	APLN
FXR	LTBP1
NURR1	KLHL7
FXR	C3orf45
NeuroD	TBX18
NF-kappaB	LOC100133991
TEF-1	CIRH1A
ETS2	EPS8
GABP	RAB24
ETS2	TECPR1
STAT3	ABCA12
HMGIY	PAQR8
GR	EDA2R
ETS2	LCLAT1
LBP-1	BMPR2
HMGIY	PAQR9
E2A	DGCR2
TEF-1	C11orf73
TEF-1	C11orf74
NF-Y	NEK10
FXR	C3orf49
TGIF2	ELAVL2
NeuroD	SETD2
PUR1	LCE3C
PUR1	PARS2
LRF	MAFG
USF	PDK2
HNF4	RFFL
STAT6	SLC4A2
PU.1	CLPTM1L
LBP-1	ALMS1
NeuroD	SETD5
TCF-4	TM2D2
YY1	RPS6KA1
NeuroD	SETD7
STAT3	OVCA2
E2A	RORA
NeuroD	SETD8
STATx	B3GAT3
NeuroD	CDKN2B-AS1
SRF	CA3
YY1	RPS6KA2
TEF-1	LOC100131138
E2A	RORB
YY1	RPS6KA3
NURR1	LOC255411
YY1	RPS6KA4
HMGIY	UNQ6975
SOX10	SLPI
YY1	RPS6KA5
PU.1	FAM155A
AP-2rep	DAZAP2
STAT6	SLC4A9
STAT5A	MSC
HMGIY	PDGFC
HNF4	MFN2
MAFA	RRBP1
FXR	UHRF1
TEF-1	AARS
LEF1	NINJ2
PU.1	FAM155B
PU.1	AGAP11
ETS2	EGLN1
HNF-4	GOLGA4
MIF-1	MED25
HNF4	MIF4GD
PU.1	CHRNA7
FXR	PEG10
PXR(PXR:RXR)	EYA4
YY1	MEFV
GABP	ACVR2A
STAT4	FLJ33630
AREB6	C6orf64
NURR1	PROKR2
E2A	C11orf80
SMAD	LOC100128811
Myc	DDN
HNF4	PAICS
TEF-1	RRNAD1
NURR1	SMTNL2
RFX1	GPD1
Myc	PSME3
NFE2L2	TG
HNF4	GSC
SRF	MYH7
SOX10	KIAA0090
FXR	CAMP
ETS2	ZBBX
SRF	MYH9
CREB	CDC42EP4
E2A	C11orf87
YY1	ID2B
YY1	LCN10
LBP-1	ALX1
NF-kappaB(p65)	UPF2
TEF-1	TFIP11
NURR1	LHFPL2
STAT6	AHR
NURR1	OAT
Myc	RUNX1T1
NURR1	OR2F1
AP-1	ARRDC4
NURR1	LHFPL4
NURR1	OR2F2
STAT3	LY6G6C
AP-1	C19orf18
STAT6	GLYAT
HMGIY	MIR146B
TEF-1	GFM1
HNF4	DHRS1
TEF-1	GFM2
TERALPHA	MOGS
HNF4	DHRS2
AP-2rep	BOK-AS1
AP-4	UGT8
STAT6	XPO5
TEF-1	KIAA0040
HNF4	DHRS3
HNF4	DHRS4
YY1	LRRC8A
YY1	TMEM170B
LBP-1	CKMT1A
YY1	LRRC8B
MAFA	FAM149B1
MAFA	PISD
LBP-1	CKMT1B
TEF-1	KPNA1
TEF-1	KPNA2
HNF4	DHRS7
YY1	LOC219347
YY1	LPPR1
PUR1	ECSIT
YY1	LPPR2
STAT4	ALDH9A1
HNF4	GSS
TEF-1	KPNA4
HNF4	DHRS9
LRF	AKR7A2
ETS2	CDAN1
PUR1	SV2A
TEF-1	KPNA5
YY1	LPPR4
PUR1	WDR8
YY1	LPPR5
LRF	CCDC33
ERR2(ESRRB)	DNAJC11
AP-4	TBR1
NeuroD	PRPSAP1
NeuroD	CHCHD2
NeuroD	CCKAR
STAT6	FAM47E
TEF-1	ATG3
NFAT2	LMNB1
PU.1	RTKN2
COUPdirectrepeat1	RINL
STAT4	NGDN
NeuroD	CHCHD4
MAFA	MMAA
NeuroD	ALDH4A1
ETS2	PTGFRN
Tel-2	CTDNEP1
NeuroD	GPR162
YY1	PTMA
PUR1	RAD54L
LEF1	RLBP1
STAT1	SAMD3
TEF-1	ATG7
GR	GRWD1
E2A	BTK
PXR(PXR:RXR)	SERPINB5
NeuroD	CHCHD8
USF1	HSPBAP1
NeuroD	MIR100
LRF	MFAP2
NURR1	HACE1
NeuroD	C2orf15
NeuroD	C2orf16
NF-Y	L3MBTL2
NF-Y	RBM14
ATF2:c-Jun	NAV2
STAT6	PCDHGB1
ETS2	ESCO1
Nrf-2	CANX
NeuroD	C2orf18
USF	SSR1
LBP-1	RASGRP3
Tel-2	ZNF787
E2A	INF2
ETS2	ESCO2
STAT3	ZFR
PXR(PXR:RXR)	MIR365-1
MAFA	MESDC2
USF	SSR3
GR	MIR3671
Bach2	SAMD12
STAT6	PCDHGB4
SOX10	FBXL14
SOX10	BCL9L
NeuroD	MIR107
NURR1	FPGS
RFX1	ARRDC4
SOX10	FBXL15
USF	HSPA12A
SOX10	FBXL16
STAT4	LOC100124692
ETS2	PGLYRP3
STAT6	PCDHGB7
NeuroD	SUOX
ETS2	PGLYRP4
MAFA	CRTC1
TEF-1	DPYS
MAFA	CRTC2
FXR	C1orf174
NFAT2	TUFM
MAFA	CRTC3
YY1	PTMS
LBP-1	PLAT
LBP-1	PLAU
LBP-1	PLEKHN1
NF-Y	ECSIT
FXR	C1orf177
NeuroD	MIR10A
HMGIY	COMMD3
TAL1	RAP2C
NeuroD	LOC158376
NeuroD	MIR10B
TEF-1	MIR548D1
TEF-1	MIR548D2
YY1	LOC100288778
ETS2	RNU5D
FXR	OR2C3
MAFA	VNN1
PU.1	PMEL
ETS2	RNU5E
FXR	CDKN2AIP
MAFA	VNN2
LBP-1	MIR1180
SOX10	KIF18A
REL	TNFRSF1B
MAFA	VNN3
MAFA	RPUSD1
AREB6	PIP5K1B
AP-2rep	LOXHD1
HMGIY	COMMD9
NURR1	ANKRD2
LBP-1	MIR1182
NURR1	APOB
TCF-4	XRCC4
STAT6	COBLL1
TCF-4	XRCC6
ETS2	IL1F9
FXR	TRAF1
N-Myc	SNORD10
STAT3	C12orf32
NURR1	ANKRD6
FXR	TRAF4
Tel-2	C17orf81
GLI	LMF1
TEF-1	MIR380
HNF4	GATC
HMGIY	MORC1
STAT3	RALGDS
HMGIY	MORC2
ATF3	MIR3193
NF-kappaB	FAM18A
TEF-1	MIR381
HMGIY	PELI2
MAFA	ACRBP
STAT4	ALS2CR4
HMGIY	MORC3
NF-1	TMEM91
TEF-1	MIR382
STAT3	GPHB5
IRF8	HIF1A
YY1	SERPINH1
NF-Y	HIST1H2BA
NF-kappaB	CAPZA1
TEF-1	MIR383
STAT6	CARTPT
STAT3	FXYD1
Tel-2	SUPT4H1
POU5F1	SFTPC
TEF-1	MIR384
HNF4	COX5A
YY1	MEG3
STAT3	FXYD2
NF-Y	HIST1H2BC
HNF4	SRSF4
STAT3	FXYD3
TLX1::NFIC	WBP4
TEF-1	UBXN1
LEF1	LRRC4C
PU.1	DENND5A
NF-Y	HIST1H2BD
HNF4	COX5B
PUR1	PSD
LM4_M2	KLHDC3
STAT3	FXYD4
E2A	LILRA1
E2A	LILRA2
FXR	LOC100129046
E2A	LILRA3
YY1	MEG8
HNF4	SRSF9
NF-Y	HIST1H2BH
Mox1	SEMA5B
E2A	LILRA4
TEF-1	UBXN6
HNF4	SKIL
E2A	LILRA5
HNF4	FOXJ1
TEF-1	UBXN7
E2A	LILRA6
TEF-1	UBXN8
SAP-1a	ARF4
IRF8	GPR15
STAT3	GRP
YY1	RNF121
HNF4	FOXJ3
STAT4	OR2W5
NeuroD	TBX20
USF	DMKN
AP-2rep	PTPRH
NeuroD	TBX21
AP-1	PAFAH1B2
HMGIY	ADRA2A
TEF-1	PADI1
YY1	RNF122
LRF	HIAT1
NeuroD	HMGA2
TEF-1	PADI2
E2A	SMC1A
YY1	RNF123
NeuroD	TBX22
IRF8	GPR19
NF-Y	HIST1H2BO
TEF-1	PADI3
YY1	RNF125
ATF	TMEM198
FXR	C3orf51
ETS2	PMAIP1
RFX1	RILPL2
AP-2rep	PTPRM
GR	DSCAML1
TEF-1	PADI6
Nrf-1	NRN1
MAFA	FOXF2
LEF1	ST3GAL6
ISGF-3	DHX58
STAT5A(homodimer)	IKZF4
E2A	ESPN
LBP-1	POU2F1
YY1	RNF128
USF	GRB14
LBP-1	POU2F2
SOX10	HLF
TEF-1	C11orf80
GABP	RAB34
TEF-1	ENPP2
LEF1	NCKAP5
YY1	NUDT4P1
TEF-1	C11orf82
LBP-1	IL4
TEF-1	ENPP3
HNF4	MYCN
LBP-1	IL5
LRF	UPF2
TEF-1	ENPP4
AP-2rep	KIAA1161
LBP-1	FAM184A
FXR	C3orf58
LBP-1	PPIL2
P50:RELA-P65	LBP
TEF-1	C11orf84
TEF-1	ENPP5
LBP-1	FAM184B
USF	MNX1
NR1H2::RXRA	AP1B1
TEF-1	C11orf85
TEF-1	ENPP7
HMGIY	PHC2
LBP-1	LMBR1
NURR1	GCOM1
SOX10	C14orf166B
TEF-1	C11orf87
YY1	FAM50A
HMGIY	PHC3
TEF-1	C11orf88
Arnt	DSCAM
E2A	CASP9
USF	NDRG3
YY1	RPS6KB2
IRF8	MGC16121
AREB6	PTP4A2
PU.1	CHRNB2
TEF-1	HAND1
ATF2:c-Jun	C7orf70
FLI1	CCDC130
PUR1	ACBD5
TEF-1	HAND2
Arnt	ATP6V0B
Staf	RAB7L1
TEF-1	AASS
TCF-4	SP4
HMGIY	MIR1471
AP-2rep	CPD
TCF-4	SP5
FLI1	CCDC134
CTCF	ERLIN2
MAFA	CUEDC1
TEF-1	FAM60A
Nrf-1	LOC219347
NURR1	FBLN7
YY1	EMID1
STAT4	OTOP3
MAFA	CUEDC2
NF-kappaB	HLA-B
Elk-1	SDHD
PXR(PXR:RXR)	GPR3
Meis2	PALLD
HMGIY	CYP26A1
PUR1	RBM20
YY1	HSP90B1
E2A	C11orf94
Myc	METTL11A
TCF11:MafG	MKLN1
YY1	STAMBP
COUP	MAPK8
E2A	H6PD
LBP-1	BHLHE22
ATF	EXO1
ETS2	ACADVL
PUR1	CDK2AP1
LBP-1	NPC1L1
GR	LOC647323
PUR1	THAP8
TLX1::NFIC	SNORD111B
HMGIY	IFFO1
PUR1	CDK2AP2
FXR	STMN1
HMGIY	MIR147B
PUR1	SPRR3
TFE	LOC389023
ETS2	COL12A1
NeuroD	ZAN
PU.1	SIX2
FXR	STMN4
TFE	KLHL14
TEF-1	KPNB1
NURR1	CT62
LRF	ANKRD50
HNF4	CP110
PUR1	NR4A1
LBP-1	PAFAH1B2
NeuroD	RPN1
STAT6	FAM48A
AP-2rep	AUTS2
NF-Y	ACBD7
Oct-2	SHB
HNF4	MGAT2
AP-4	SPEG
TEF-1	MIR1537
HNF4	MGAT3
E2A	OR8B8
NeuroD	CCKBR
NF-kappaB	SMG7
AP-2rep	PCOLCE
CTF1	RORC
TEF-1	MIR1539
Nrf-1	CAMKK1
FXR	LOC100507217
LBP-1	EGOT
HNF4	MGAT5
ATF2:c-Jun	RNF44
NF-Y	ZNF687
YY1	RP1L1
STAT4	SULF1
PU.1	PANX3
SOX10	ARAP1
NURR1	IKZF2
NeuroD	GPR174
NURR1	IKZF3
NeuroD	GATSL3
NeuroD	GPR176
NURR1	IKZF4
NF-Y	RBM23
Oct-1	DNAH5
HMGIY	TROVE2
GLI3	NKX2-2
NeuroD	GPR179
ETS2	TM4SF1
YY1	HIST2H2BF
ATF3	GPR20
STAT3	SPON2
SOX10	CPLX3
PUR1	FLRT1
TEF-1	LOC643650
NeuroD	C2orf29
alpha-CP1	DLG1
MAFA	EIF2B5
STAT6	PCDHGC3
alpha-CP1	DLG2
ETS2	TM4SF4
TEF-1	RPL13AP5
NF-Y	THAP8
ETS2	TM4SF5
YY1	TNFAIP8L3
RFX1	C14orf105
alpha-CP1	DLG3
NF-Y	DNAJC27
STAT4	TMEM150A
GLI3	NKX2-8
USF	PSAT1
TCF4	AKIRIN1
MIF-1	DCDC2B
GABP	TGIF2
SOX4	STIP1
NF-kappaB	BTF3L4
GR	CFP
FXR	C1orf182
MEF2A	ASB16
NeuroD	SNURF
IRF8	FGFR2
NURR1	C17orf61-PLSCR3
EBF	IRF9
HNF4	CCNA1
FXR	C1orf186
Tel-2	NEDD8-MDP1
HNF4	CCNA2
PU.1	LRP8
LRF	CRYGD
STAT6	KLHL10
REL	PTPN3
SOX4	C1orf122
NeuroD	NUPL1
LBP-1	C19orf20
SOX10	TMOD2
FXR	OR2D3
STAT6	KLHL12
SOX10	TMOD3
STAT6	KLHL13
TFE	TYRP1
SOX10	TMOD4
FXR	MIR1909
SOX4	GAS2
STAT6	KLHL15
LBP-1	SLC29A1
LBP-1	ARL15
NFAT2	KRTAP24-1
LBP-1	ARL16
ETS2	BANP
LBP-1	SLC29A3
NeuroD	CYHR1
HEB	TFDP2
LBP-1	C19orf26
STAT6	VEPH1
NURR1	LOC390940
TEF-1	TCEB3B
Nrf-1	MLX
STAT3	C12orf42
GABP	NCAPG
E2A	DCLRE1A
LBP-1	MIR1197
Meis1	MAST4
PU.1	WWC1
STAT3	C12orf44
E2A	GRPEL1
GR	RCN2
PPARdirectrepeat1	MDK
HMGIY	BTBD10
E2A	GRPEL2
YY1	SERPINI1
PU.1	WWC3
GR	RCN3
PXR(PXR:RXR)	SGSH
AP-4	KIAA0195
STAT6	S1PR1
LBP-1	GABRG1
HEB	TARBP2
LBP-1	GABRG3
FXR	SFMBT1
RFX1	PRRG3
FXR	CCL4L1
CART1	PCDH11X
FXR	CCL4L2
E2F	CDC25A
E2A	LILRB3
GR	SHPK
USF	PITX3
POU2F3	KCTD6
HMGIY	NUP155
E2A	MIR548F1
USF	SARDH
E2A	LILRB5
STAT3	GSN
POU2F3	KCTD9
NeuroD	LOC286238
Nrf-1	CDKN2B
Nkx6-1	ATG4C
YY1	RPL21P44
NeuroD	HMGB1
STAT5A	EP300
SMAD	RFWD3
YY1	RNF133
NF-Y	LOC100132215
MAFA	BMP10
NeuroD	HMGB3
MAFA	FCF1
STAT4	RPH3A
HNF4	OPTC
PU.1	MEOX2
NF-E2	HIC1
NUR77	RTP3
CREB	C22orf24
SOX4	AXIN2
STAT5A	ANKS1A
YY1	RNF138
PU.1	SLC11A1
FXR	C3orf64
TEF-1	C11orf90
SOX10	COL5A3
TEF-1	AATF
STAT4	DNAH2
TEF-1	C11orf91
AP-2rep	MIR1203
FXR	SMCR7
TEF-1	C11orf92
FXR	GNAI1
STAT3	PTPN1
Nrf-1	CHIC1
TEF-1	C11orf94
STAT4	DNAH5
PU.1	EPO
STAT3	PTPN3
